epoch,accuracy,loss,val_accuracy,val_loss
0,0.3086816668510437,1.406002402305603,0.3205128312110901,1.377423644065857
1,0.3408360183238983,1.3372215032577515,0.23076923191547394,1.4168535470962524
2,0.46302250027656555,1.2261910438537598,0.43589743971824646,1.1817262172698975
3,0.5048231482505798,1.1023354530334473,0.5256410241127014,1.1302298307418823
4,0.6077170372009277,1.0100098848342896,0.5128205418586731,1.0767546892166138
5,0.6045016050338745,0.9383001327514648,0.41025641560554504,1.6382906436920166
6,0.6334404945373535,0.8874014019966125,0.5641025900840759,1.088966727256775
7,0.672025740146637,0.7870886921882629,0.6410256624221802,0.9521450996398926
8,0.6945337653160095,0.7324380874633789,0.6410256624221802,0.9136902093887329
9,0.7073954939842224,0.7123340368270874,0.6153846383094788,0.8953197002410889
10,0.7395498156547546,0.6457579135894775,0.6538461446762085,0.9522439241409302
11,0.7781350612640381,0.6098305583000183,0.6538461446762085,0.783561646938324
12,0.8102893829345703,0.5132603645324707,0.7692307829856873,0.612554132938385
13,0.8360128402709961,0.43877238035202026,0.7564102411270142,0.7160531282424927
14,0.8295819759368896,0.46330615878105164,0.7179487347602844,0.8113482594490051
15,0.8906752467155457,0.3390433192253113,0.807692289352417,0.5142621994018555
16,0.9196141362190247,0.2620141804218292,0.8461538553237915,0.42369019985198975
17,0.9003215432167053,0.2944246232509613,0.7307692170143127,0.869260847568512
18,0.9196141362190247,0.21982593834400177,0.7564102411270142,0.6710844039916992
19,0.9356912970542908,0.21490034461021423,0.8461538553237915,0.4161303639411926
20,0.938906729221344,0.17407597601413727,0.8205128312110901,0.5121188163757324
21,0.9131832718849182,0.2499074637889862,0.9102563858032227,0.30940911173820496
22,0.9453375935554504,0.17434532940387726,0.9230769276618958,0.31168681383132935
23,0.9421221613883972,0.12612608075141907,0.7948718070983887,0.8975160121917725
24,0.971061110496521,0.0949377790093422,0.8846153616905212,0.41455399990081787
25,0.9453375935554504,0.13023892045021057,0.8717948794364929,0.39516299962997437
26,0.9807074069976807,0.07961681485176086,0.8846153616905212,0.34250304102897644
27,0.9839228391647339,0.057802364230155945,0.8974359035491943,0.35174116492271423
28,0.9678456783294678,0.12202052772045135,0.8846153616905212,0.3779691159725189
29,0.9774919748306274,0.0886605829000473,0.8589743375778198,0.4537612795829773
30,0.9903537034988403,0.047512948513031006,0.7692307829856873,0.9984127879142761
31,0.9581993818283081,0.11456283181905746,0.8589743375778198,0.44065606594085693
32,0.9485530257225037,0.12987633049488068,0.8205128312110901,0.6558100581169128
33,0.9517685174942017,0.1201145276427269,0.807692289352417,0.6245741844177246
34,0.9935691356658936,0.042154911905527115,0.8589743375778198,0.5357220768928528
35,0.9967845678329468,0.018589500337839127,0.8205128312110901,0.6165574789047241
36,0.9935691356658936,0.021350430324673653,0.8589743375778198,0.5240738987922668
